id,text,timestamp,source,symbols,company_names,url,verified
1016442670435196900,EPS for American Electric Power Company Inc. $AEP Expected At $0.81 https://t.co/V99CmuQYJn,Mon Jul 09 22:03:11 +0000 2018,reurope_stock,AEP,American Electric Power Company,https://reurope.com/2018/07/09/eps-for-american-electric-power-company-inc-aep-expected-at-0-81/,False
1016442734230560800,American Electric Power Company Inc. $AEP EPS Estimated At $0.81 - https://t.co/bmCaJ4mfjv,Mon Jul 09 22:03:27 +0000 2018,bibeypost_stock,AEP,American Electric Power Company,https://www.bibeypost.com/american-electric-power-company-inc-aep-eps-estimated-at-0-81/,False
1016442753478266900,Are Delphi Technologies $DLPH Shares a ‘Buy’ Now? Morgan Stanley Has Upgraded The Stock - https://t.co/rEVppHGyRl,Mon Jul 09 22:03:31 +0000 2018,whatsonthorold2,DLPH,Delphi Technologies PLC,https://www.whatsonthorold.com/2018/07/09/are-delphi-technologies-nysedlph-shares-a-buy-now-morgan-stanley-has-upgraded-the-stock/,False
1016442929341194200,Are Delphi Technologies $DLPH Shares Headed North? Morgan Stanley Issues Upgrade. https://t.co/TxECdnuGAs,Mon Jul 09 22:04:13 +0000 2018,reurope_stock,DLPH,Delphi Technologies PLC,https://reurope.com/2018/07/09/are-delphi-technologies-nysedlph-shares-headed-north-morgan-stanley-issues-upgrade/,False
1016442985507184600,Is Delphi Technologies $DLPH Now a ‘Buy’? Why did Morgan Stanley Upgrade The Stock? - https://t.co/Q9FPew9IMn,Mon Jul 09 22:04:26 +0000 2018,bibeypost_stock,DLPH,Delphi Technologies PLC,https://www.bibeypost.com/is-delphi-technologies-nysedlph-now-a-buy-why-did-morgan-stanley-upgrade-the-stock/,False
1016443464404422700,You don't want to miss these: $TGODF $SBGSY $ORCL $INTC $CSCO $BIIB $PFE $NFLX $URSL $IBGHD $STAF $ISR $MBVX $BNTC… https://t.co/o6JyBfCmFy,Mon Jul 09 22:06:21 +0000 2018,lockh3artsmith,DLPH,Delphi Technologies PLC,https://twitter.com/i/web/status/1016443464404422656,False
1016444751745253400,Arthur J. Gallagher &amp; Co. $AJG Analysts See $0.62 EPS - https://t.co/ZxIX4Y8xEi,Mon Jul 09 22:11:28 +0000 2018,whatsonthorold2,AJG,Arthur J. Gallagher & Co.,https://www.whatsonthorold.com/2018/07/09/arthur-j-gallagher-co-ajg-analysts-see-0-62-eps/,False
1016444993601491000,$0.62 EPS Expected for Arthur J. Gallagher &amp; Co. $AJG https://t.co/B4DR3WHNfS,Mon Jul 09 22:12:25 +0000 2018,reurope_stock,AJG,Arthur J. Gallagher & Co.,https://reurope.com/2018/07/09/0-62-eps-expected-for-arthur-j-gallagher-co-ajg/,False
1016445128343474200,$0.62 EPS Expected for Arthur J. Gallagher &amp; Co. $AJG - https://t.co/4qgQBqXmes,Mon Jul 09 22:12:57 +0000 2018,bibeypost_stock,AJG,Arthur J. Gallagher & Co.,https://www.bibeypost.com/0-62-eps-expected-for-arthur-j-gallagher-co-ajg/,False
1016445500076318700,Is the supply chain for Costco Office Depot and Walmart so bad that they really have back to school items and sal… https://t.co/8Cs6jBNdai,Mon Jul 09 22:14:26 +0000 2018,bryanvezina,ODP,Office Depot,https://twitter.com/i/web/status/1016445500076318721,False
1016446048716243000,RT @TraderInPlay: Monday Gappers: Up: $HELE $UMC $GPRN $AU $HMY $PAAS $ABX $BHP $GDX $GDXJ $BNTC $AXON $BVX $SPRO $PVG $KMPH $PLAB $GME $F…,Mon Jul 09 22:16:37 +0000 2018,positionalgood,DLPH,Delphi Technologies PLC,,False
1016447016086356000,Top Shorted Stocks 07/09/18... 7. $CBL 78.85% 8. $NVAX 78.59% 9. $BKLN 77.56%... https://t.co/yubEngocWU,Mon Jul 09 22:20:27 +0000 2018,ShortStockVolum,NVAX,Novavax,http://shortstockvolume.com/TopShortedStocks/07-09-2018,False
